gruyere	sandwich	[6678, 6957, 8786, 10112, 10295, 15583, 19126, 20331, 20529, 23283, 23326, 14657, 17348, 24654, 28216, 9960, 12326]
banana	tart	[16108, 16114, 21413, 22790, 33651, 36643, 39635, 47472, 48603, 48874, 281, 822, 1455, 3386, 4088, 6146, 8573, 10584, 11979, 12287, 12436, 13726, 17544, 17630, 17687, 18070, 20875, 21213, 22356, 26822]
roasted	banana	[109, 194, 316, 370, 411, 471, 501, 589, 696, 735, 765, 785, 866, 1047, 1050, 1269, 1279, 1296, 1362, 1419, 1593, 1663, 1680, 1693, 1747, 1753, 2124, 2156, 2186, 2292, 2325, 2420, 2474, 2483, 2615, 2953, 3041, 3093, 3164, 3315, 3378, 3554, 3603, 3631, 3642, 3720, 3756, 3766, 3790, 3921, 3925, 3939, 4019, 4030, 4070, 4088, 4241, 4320, 4660, 4762, 5000, 5340, 5365, 5410, 5411, 5427, 5431, 5525, 5724, 5841, 5981, 6054, 6092, 6261, 6281, 6333, 6349, 6361, 6405, 6543, 6636, 6746, 6770, 6847, 6879, 7014, 7154, 7185, 7242, 7279, 7280, 7417, 7682, 7729, 7734, 7755, 7830, 7960, 7999, 8033, 8061, 8072, 8139, 8188, 8212, 8213, 8251, 8266, 8303, 8355, 8368, 8389, 8391, 8410, 8432, 8458, 8573, 8594, 8675, 8805, 8829, 8856, 8912, 8959, 8992, 9080, 9187, 9193, 9352, 9626, 9825, 9905, 9927, 9997, 10229, 10324, 10511, 10520, 10783, 10954, 10985, 10991, 11052, 11128, 11259, 11290, 11433, 11493, 12274, 12285, 12319, 12428, 12429, 12451, 12608, 12633, 12807, 12833, 12834, 12887, 12918, 12948, 13153, 13170, 13476, 13585, 13589, 13613, 13636, 13674, 13798, 13882, 13960, 14098, 14103, 14236, 14258, 14445, 14447, 14509, 14571, 14584, 14665, 14734, 14813, 14889, 14898, 14960, 14974, 15030, 15154, 15186, 15226, 15271, 15278, 15312, 15332, 15372, 15426, 15446, 15691, 15912, 15986, 16043, 16049, 16133, 16261, 16284, 16396, 16457, 16536, 16635, 16727, 16861, 16905, 16906, 16912, 16913, 16916, 16953, 16954, 16978, 17016, 17110, 17145, 17262, 17306, 17387, 17400, 17631, 17632, 17646, 17742, 17781, 17795, 17834, 17904, 17959, 17999, 18068, 18129, 18207, 18208, 18254, 18336, 18551, 18553, 18771, 18808, 18814, 18916, 18939, 19120, 19206, 19429, 19461, 19478, 19575, 19581, 20021, 20022, 20041, 20067, 20071, 20072, 20097, 20163, 20164, 20165, 20438, 20507, 20508, 20525, 20554, 20633, 20743, 20831, 20872, 20995, 21280, 21344, 21388, 21470, 21615, 21687, 21748, 21884, 22041, 22106, 22109, 22173, 22455, 22467, 22517, 22589, 22611, 22630, 22655, 22732, 22741, 22771, 22831, 22885, 22912, 22922, 23011, 23091, 23118, 23335, 23428, 23520, 23717, 23773, 23800, 23972, 24014, 24086, 24191, 24216, 24281, 24380, 24408, 24612, 24663, 24758, 24763, 25043, 25056, 25190, 25699, 25759, 25886, 25921, 26013, 26122, 26171, 26174, 26228, 26314, 26348, 26376, 26545, 26666, 26843, 26850, 26881, 26954, 27018, 27022, 27046, 27095, 27113, 27169, 27271, 27305, 27781, 27844, 27853, 27947, 27999, 28100, 28151, 28186, 28289, 28295, 28398, 28461, 28508, 28559, 28614, 28641, 28730, 28781, 28875, 28935, 29143, 29151, 29231, 29232, 29298, 29380, 29518, 29519, 29554, 29568, 29614, 29791, 29792, 29819, 29933, 29950, 30035, 30081, 30361, 30487, 30505, 30548, 30554, 30587, 30616, 30799, 30800, 30948, 31025, 31071, 31216, 31353, 31481, 31489, 31536, 31542, 31608, 31678, 31681, 31786, 31828, 31846, 31892, 31921, 32006, 32052, 32105, 32156, 32230, 32269, 32322, 32328, 32349, 32395, 32434, 32488, 32520, 32663, 32675, 32771, 32772, 32909, 32911, 33021, 33135, 33177, 33191, 33193, 33203, 33224, 33245, 33272, 33540, 33563, 33568, 33583, 33604, 33625, 33653, 33654, 33690, 33784, 33805, 33806, 4240, 6958, 11795, 25705, 27080, 29779, 31326]
full	meal	[155, 2271, 2309, 3785, 19759, 23283, 10644, 12258, 17060, 15618, 7486, 24375, 5224, 9196, 9753, 9755, 10583, 31276, 4821, 16324, 8455, 10071]
date	night	[6490, 8466, 5835, 6756, 7039, 9748, 28366, 36107, 436, 9329, 34914, 1164, 2085, 3400, 11927, 18238, 4202, 15269, 9213, 290, 831, 1054, 4448, 5040, 6023, 6405, 11171, 13932, 15687, 1225, 19035, 14612]
chinese	restaurants	[11015, 14856, 14538, 6805, 15564, 16398, 36546, 75, 117, 1422, 1500, 1739, 1901, 2009, 2280, 2724, 2860, 3290, 3828, 4657, 4927, 5449, 5849, 6018, 6344, 6694, 7175, 7187, 7191, 7333, 7335, 7357, 7770, 7854, 7902, 8303, 9373, 9728, 10147, 10975, 3410, 12499, 4069, 7100, 8193, 11454, 18645]
pork	burger	[599, 871, 1783, 1950, 2219, 2906, 3172, 3174, 3181, 3484, 3496, 4237, 4325, 4356, 4903, 5142, 6263, 6556, 6826, 6901, 7036, 7041, 7117, 7182, 7581, 7633, 7806, 7820, 9080, 9150, 9227, 9436, 9540, 9606, 10061, 10506, 10640, 11490, 11959, 12101, 12301, 12327, 12334, 12448, 13287, 13303, 13594, 13605, 13606, 13632, 13674, 13962, 14501, 14902, 15000, 15003, 15171, 15182, 15226, 15314, 15864, 16064, 16120, 16134, 16148, 16213, 16233, 16612, 17055, 17058, 17059, 17167, 17210, 17554, 18084, 18320, 19091, 19129, 19764, 19776, 19779, 20469, 20684, 20757, 21073, 21372, 21373, 21529, 21780, 21819, 21950, 22323, 15582, 7434, 12450, 13963, 19788, 21783]
right	place	[4287, 10863, 29653, 33870, 39893, 40641, 24745, 13475, 29387, 4528, 3782, 19028, 24488, 25338, 34505, 35142, 8694, 6496, 42, 9250, 7924, 17930, 15904, 360, 4676, 11044, 7365, 13509, 14272, 120, 9577]
hot	dogs	[2316, 7471, 16119, 29355, 1843, 18122, 962, 10740, 50, 1509, 2905, 3074, 3537, 12267, 13086, 5057, 22184]
great	consistency	[10893, 18815, 37616, 16464, 26302, 16880, 14513, 3808, 12516, 26693, 13427, 11805]
fatty	pork	[3273, 7423, 1106, 3143, 3531, 13398, 13696, 21011, 21251, 27470, 28136, 2705, 5474, 6781, 7327, 7576, 7590, 11990, 17836, 20242, 20936, 22064, 27693, 36449, 2323, 8268, 8574, 6841, 8235, 23327]
